listingId,title,price,area_sqft,bhk,bathrooms,parking,location,city,latitude,longitude,floor_number,total_floors,furnishing,facing,age_years,possession_category,possession_date,is_under_construction,project_name,posted_date,propertyType,saleTag,data_source
20648041,3 BHK Flat,7600000.0,1350.0,3.0,2,2,"Horamavu Agara, Lakeview Residency",Bengaluru,13.041233,77.655105,2.0,5.0,Unfurnished,North,,Upcoming,2026-08-01,True,,2026-07-08,resale,Resale,Real
20875763,2 BHK Flat,22500000.0,1200.0,2.0,2,0,"7th Phase, JP Nagar",Bengaluru,12.89308,77.579529,17.0,20.0,Semi Furnished,East,13.0,Ready to Move,,False,Elita Promenade,2026-08-08,resale,Resale,Real
20869088,2 BHK Flat,24000000.0,1000.0,2.0,2,1,"Attibele, Bengaluru",Bengaluru,12.78003,77.770203,27.0,41.0,Unfurnished,East,6.0,Ready to Move,,False,Sobha Madison Heights Townpark Phase 1 W5 To 7,2026-08-07,resale,Resale,Real
20770589,3 BHK Flat,45000000.0,3730.0,3.0,4,2,"Thanisandra, Bengaluru",Bengaluru,13.060527,77.609856,5.0,6.0,Unfurnished,Unknown,,Ready to Move,,False,Legacy Celino,2026-07-24,resale,Resale,Real
20341105,2.5 BHK Flat,12000000.0,1205.0,2.5,2,1,"K R Garden, Murugeshpalya",Bengaluru,12.956219,77.655844,3.0,4.0,Semi Furnished,North,10.0,Ready to Move,,False,,2026-07-28,resale,Resale,Real
19009926,3 BHK Flat,40000000.0,2050.0,3.0,3,2,"Srinivasa Nagar, Banashankari",Bengaluru,12.934443,77.553413,6.0,15.0,Semi Furnished,East,,Upcoming,2026-07-25,True,Adarsh Premia,2026-07-25,resale,Resale,Real
21102699,2 BHK Flat,16399999.999999998,1234.0,2.0,2,1,"Dodsworth Layout, Whitefield",Bengaluru,12.9698361261294,77.7490637273097,18.0,28.0,Unfurnished,East,,Ready to Move,,False,White Field Ville,,resale,Resale,Real
21020850,3 BHK Flat,25000000.0,1410.0,3.0,3,1,"Rachenahalli, Jakkur",Bengaluru,13.064173,77.621292,7.0,9.0,Unfurnished,North,1.0,Ready to Move,,False,Century Horizon,2026-08-31,resale,Resale,Real
20116160,1 BHK Flat,11500000.0,855.0,1.0,1,1,"Raghuvanahalli, Subramanyapura",Bengaluru,12.880396,77.545136,5.0,14.0,Unfurnished,South,1.0,Ready to Move,,False,Centreo,2026-08-31,resale,Resale,Real
21093073,3 BHK Flat,17000000.0,1200.0,3.0,3,1,"Aishwarya Crystal Layout, Begur",Bengaluru,12.870757,77.645012,9.0,18.0,Unfurnished,East,3.0,Ready to Move,,False,TVS Emerald Jardin,2026-09-10,resale,Resale,Real
20462616,3 BHK Flat,24500000.0,1675.0,3.0,3,1,"Eshwara Layout, Indira Nagar",Bengaluru,12.975083,77.634387,2.0,4.0,Semi Furnished,East,20.0,Ready to Move,,False,,2026-09-21,resale,Resale,Real
20071858,4.5 BHK Flat,27500000.0,2030.0,4.5,4,2,"Upkar Layout, Whitefield",Bengaluru,12.983492,77.74617,23.0,30.0,Unfurnished,West,,Ready to Move,,False,Godrej Splendour,2026-09-07,resale,Resale,Real
21018952,3 BHK Flat,17500000.0,1896.0,3.0,3,1,"Seegehalli, K R Puram",Bengaluru,13.0168979152543,77.7183019086097,1.0,5.0,Semi Furnished,West,11.0,Ready to Move,,False,The Metropolitan Seegehalli MCHS Layout by The Metropolitan,2026-08-31,resale,Resale,Real
20184142,3 BHK Flat,19000000.0,1267.0,3.0,2,1,"Chikkagubbi Village, Bengaluru",Bengaluru,13.082001,77.657776,4.0,21.0,Unfurnished,East,3.0,Ready to Move,,False,DNR Parklink,2026-09-09,resale,Resale,Real
20490607,3 BHK Flat,17400000.0,1450.0,3.0,3,1,"Balaji Layout, Cooke Town",Bengaluru,13.000711,77.622229,2.0,5.0,Unfurnished,Unknown,1.0,Ready to Move,,False,,2026-06-17,resale,Resale,Real
20515257,3 BHK Flat,22500000.0,1690.0,3.0,3,1,"Thigala Chowdadenahalli, Bengaluru",Bengaluru,12.895463,77.749268,3.0,27.0,Unfurnished,Unknown,1.0,Ready to Move,,False,Brigade Sanctuary,2026-08-01,resale,Resale,Real
